xi,xj,LLM_model,prompt_id
"Carefully, he poured","Carefully, he poured the contents of the bottle into the glass.",Falcon-7B,77
The water splashed,The water splashed on the screen is a nice touch.,OPT,600
The letter arrived,The letter arrived in the mail.,Falcon-7B,473
The smoke rose,"The smoke rose from the chimney of the house, and the smell of burning wood filled the air.",OPT,554
In the safari,"In the safari, you will be able to see the big five, which are the lion, leopard, elephant, buffalo and rhino.",Falcon-7B,199
With a flourish,"With a flourish, the man in the middle of the room, who was dressed in a black suit and a white shirt, stood up and walked over to the man in the back.",OPT,634
He pondered the,He pondered the question for a moment.,Falcon-7B,122
As they laughed,"As they laughed, the man in the back of the room, who was not a member of the group, said, ""I'm not sure I want to be a part of this.",OPT,45
In the mansion,"In the mansion, this time it's not a room without a ceiling to go around.",GPT-2,187
In the courtyard,"In the courtyard in front of the fire, the two of them sat together on a bench in the middle of some wood.",GPT-2,165
In the study,"In the study, researchers found that the more people were exposed to the idea that the Earth was flat, the more likely they were to believe that the Earth was flat.",OPT,208
She looked down,"She looked down at her feet, and then looked up at him.",OPT,250
The horse neighed,The horse neighed.,OPT,448
The smoke cleared,The smoke cleared and the sun was shining brightly.,OPT,552
The mirror reflected,The mirror reflected her face.,GPT-Neo,486
The train whistled,"The train whistled, and he looked away.",GPT-Neo,589
"Slowly, the sun","Slowly, the sun was setting and the
wind was blowing.",BLOOM,301
The door opened,The door opened and a man in a white coat stepped out.,Falcon-7B,404
As evening approached,"As evening approached, the crowd grew restless.",OPT,8
She scored the,"She scored the winning goal in the 2015 World Cup final, but it was her off-the-field exploits that made her a household name.",Falcon-7B,264
The door opened,The door opened and a man in a white coat stepped out.,Falcon-7B,404
He reached for,He reached for the knife and pulled it out.,BLOOM,123
The fire roared,"The fire roared in the kitchen, and the fire was burning in the kitchen.",BLOOM,423
The circuit connected,"The circuit connected to the motor (a), and the output of the motor is voltage-sensitive.",GPT-2,367
The actor emerged,"The actor emerged from a bathroom of one room with a pair of high-visibility sunglasses and a pair of hoodies — a fitting tribute to the work of a young German-American actress, not to mention the Hollywood classic.",GPT-2,304
"Without hesitation, she","Without hesitation, she took him in her mouth.",GPT-Neo,669
She looked up,"She looked up at me and said, ""I'm sorry, I'm not sure what you're saying.",OPT,251
With a frown,"With a frown, I looked at the clock.",Falcon-7B,635
In the hallway,"In the hallway, the two men were talking about the future of the city.",BLOOM,180
"Quietly, he meditated","Quietly, he meditated to a large extent on the problem, and then he gave the words of a friend, Odo, who had asked him whether he had been afraid of the future.",GPT-2,219
As they watched,"As they watched the video, the students were asked to identify the different types of bullying.",Falcon-7B,66
She cheered for,"She cheered for the home team, but she was a visitor to the stadium.",Falcon-7B,236
With a frown,"With a frown on his face, he looked at the man who had just entered the room.",OPT,635
The stream bubbled,"The stream bubbled with the blood of the dead, and the
sight of the dead was a sight to the dying man.",BLOOM,571
In the living,"In the living room, the kitchen is a place where you can enjoy the fresh air and the natural light.",BLOOM,185
As they monitored,"As they monitored the progress on the project over the past few days, Tammam said it was clear the project could not be completed in the original time frame, due to the difficulties and issues that had arisen.",GPT-Neo,47
"Gently, she placed","Gently, she placed her hand on his arm and said, “You’re not going to hurt me.",BLOOM,96
In the hallway,"In the hallway of his office, where the four others were sitting in their desks, he picked up all four on their feet.",GPT-2,180
"Gently, he touched","Gently, he touched her shoulder.",OPT,92
He researched the,"He researched the story, as well as those he knows about on how these people lived, found some clues to those connections.",GPT-2,127
The dog whined,"The dog whined and writhed on the ground and I heard her cry out through the street a loud whoo-wo, 'Help me please.",GPT-2,401
With a gasp,"With a gasp of delight, she stood and slowly walked backward until she could reach the front of the crowd.",GPT-Neo,637
With a sigh,"With a sigh, I looked at the calendar.",OPT,648
"Carefully, he measured","Carefully, he measured off a few feet of her head, pointing to her face with his right eyebrow.",GPT-2,75
With a chisel,With a chisel and a hammer.,OPT,626
The city slept,The city slept.,GPT-2,368
The car honked,The car honked at me.,OPT,352
The bird chirped,The bird chirped and started to sing again in its voice.,GPT-2,325
The firewall breached,"The firewall breached, and one of Russia's main military jets was destroyed, according to the report.",GPT-2,425
The mountain loomed,"The mountain loomed above him, huge and empty.",GPT-Neo,492
"Slowly, he moved","Slowly, he moved to her side.",GPT-Neo,288
The piano echoed,The piano echoed.,GPT-2,517
The dog whined,"The dog whined and cried, and the cat sniffed and sniffed, and the cat sniffed and sniffed, and the cat sniffed and sniffed, and the cat sniffed and sniffed",BLOOM,401
The elevator dinged,"The elevator dinged on its way down and, the door slid open, admitting the man with the gun in his hand and a look of utter satisfaction on his face.",GPT-Neo,411
In the mansion,"In the mansion of the Count of Monte Cristo, the hero of the novel, the reader is introduced to the Count's friend, the Abbé Faria.",Falcon-7B,187
With a shrug,"With a shrug, you'll find that most of the time, you should be fine.",GPT-2,647
As they smiled,"As they smiled and talked, she got up and slipped from her chair.",GPT-Neo,58
The potion bubbled,"The potion bubbled and hissed, and the smell of the ingredients was so strong that it made my eyes water.",Falcon-7B,523
The leaves fell,The leaves fell off the tree.,OPT,468
The fire blazed,"The fire blazed through the houses, sending smoke over the buildings, causing the ground around the scene to buckle and roll.",GPT-2,417
In the distance,"In the distance, the sound of a vehicle horn could be heard.",GPT-Neo,169
As they listened,"As they listened to the crowd, they realized that they were going to have to do something.",OPT,46
The dog growled,The dog growled and the cat sniffed.,BLOOM,398
The camera flashed,"The camera flashed, and the crowd cheered.",Falcon-7B,342
As they drove,"As they drove, the driver pulled over on a paved road.",GPT-2,35
She stood up,"She stood up, but no one was there.",GPT-2,274
The password worked,"The password worked for me, but I was not able to get the user to login.",BLOOM,508
The smoke rose,"The smoke rose from the chimney, and the smell of the wood fire was in the air.",Falcon-7B,554
The wind howled,The wind howled and rain pounded down in a torrent against the house and the walls began to shake.,GPT-Neo,610
In the living,"In the living arrangement of the present state of the art, many houses have movable partitions as walls of a room.",GPT-Neo,185
With a laugh,"With a laugh and a laugh I told myself that I didn't have the answers to the question whether or not this was just a bad idea, this was a big deal.",GPT-2,642
The audience applauded,"The audience applauded the performance of the actor, who was also the lead in the film.",BLOOM,312
With a shrug,"With a shrug, the man in the white coat said, “I’m not sure.",Falcon-7B,647
In the garage,"In the garage, there are some things that just need to be done.",GPT-Neo,176
She shaped the,She shaped the scene by playing a little girl in a suit and carrying around a sack filled with papers with photographs of the four victims who were shot to death.,GPT-2,266
He looked around,"He looked around for a moment, then he saw the man.",OPT,114
He painted the,"He painted the city and her family like he wanted to say you were an artist and she believed he was right, and she felt that, for him, it was a gift for her, something she'd been gifted.",GPT-2,119
The rain fell,The rain fell late with heavy rain which started to wash over Lake Superior on Monday night.,GPT-2,531
